id,Topics,JCR impact factor,SJR,H-index,Paper citations,weighted_mean,Periodicity,Publisher,Journal,Title of research paper,Published year,Url,Content,,,
10,Markov chain,0.51,0.252,58,12,316.796,yearly,IEEE,"Geoscience and Remote Sensing (IGARSS), IEEE International Symposium",Hyperspectral image segmentation with Markov chain model,2003,https://ieeexplore.ieee.org/abstract/document/1295263,"The Hidden Markov Chain (HMC) model hasbeen extended to take into consideration the multi-componentrepresentation of an hyperspectral data cube. Parameters estimation is performed using the general Iterative Conditional Estimation (ICE) method. The vectorial extension of the model is straight forward since the vectorial point of view joints the observation of each pixel as a spectral signature. Then, the seg-mentation procedure achieves an estimation of multi-dimensionalcorrelated probability density functions . Multi-dimensional densities have been estimated by a set of 1D densities through a projection step that makes component independent and of reduced dimension.Classifications have been applied to an image from the CASI sensor includin g17 bands (from 450 to 950 nm) representing an intensive agricultural region (Brittany, France). Since, the intrinsic dimensionality of the observation has been estimated to 4, the multi-component HMC model has been applied to the CASI image reduced to 4 bands through an adapted projection pursuit method.",,,
11,MPC,3.03,1.696,260,353,2023.208,monthly,IEEE,IEEE transactions on automatic control,suboptimal mpc,1999,https://ieeexplore.ieee.org/abstract/document/751369,"Practical difficulties involved in implementing stabilizing model predictive control laws for nonlinear systems are well known.Stabilizing formulations of the method normally rely on the assumption that global and exact solutions of nonconvex, nonlinear optimization problems are possible in limited computational time. In this paper, we first establish conditions under which suboptimal model predictive control(MPC) controllers are stabilizing; the conditions are mild holding out the hope that many existing controllers remain stabilizing even if optimality is lost. Second, we present and analyze two suboptimal MPC schemes that are guaranteed to be stabilizing, provided an initial feasible solutionis available and for which the computational requirements are more reasonable.Dual-mode control, nonconvex nonlinear optimization,nonlinear model predictive control, suboptimal control.",,,
12,MPC,8.12,2.267,222,139,1427.281,monthly,IEEE,IEEE transactions on power electronics,Performance of Multistep Finite Control Set Model Predictive Control for Power Electronics,2015,https://ieeexplore.ieee.org/abstract/document/6784404,"he performance of direct model predictive control(MPC) with reference tracking and long prediction horizons is evaluated through simulations, using the current control problem of a variable speed drive system with a voltage source inverter as an illustrative example. A modified sphere decoding algorithm is used to efficiently solve the optimization problem underlying MPC forlong horizons. For a horizon of five and a three-level inverter, forexample, the computational burden is reduced by four orders ofmagnitude, compared to the standard exhaustive search approach.This paper illustrates the performance gains that are achievable by using prediction horizons larger than one. Specifically, for long pre-diction horizons and a low switching frequency, the total harmonic distortion of the current is significantly lower than for space vector modulation, making direct MPC with long horizons an attractive and computationally viable control scheme.Branch and bound, drive systems, finite controlset, model predictive control (MPC), power electronics, quantiza-tion, sphere decoding.",,,
13,MPC,3.45,1.098,136,232,1161.094,bimonthly,IEEE,IEEE transactions on control systems technology,fast mpc using online optimisation,2010,https://ieeexplore.ieee.org/abstract/document/5153127,"A widely recognized shortcoming of model predictive control (MPC) is that it can usually only be used in applications with slow dynamics, where the sample time is measured in seconds or minutes. A well-known technique for implementing fast MPC is to compute the entire control law offline, in which case the on-line controller can be implemented as a lookup table. This method works well for systems with small state and input dimensions (say,no more than five), few constraints, and short time horizons. In this paper, we describe a collection of methods for improving the speedof MPC, using online optimization. These custom methods, which exploit the particular structure of the MPC problem, can compute the control action on the order of 100 times faster than a method that uses a generic optimizer. As an example, our method computes the control actions for a problem with 12 states, 3 controls,and horizon of 30 time steps (which entails solving a quadratic pro-gram with 450 variables and 1284 constraints) in around 5 ms, allowing MPC to be carried out at 200 Hz.Model predictive control (MPC), real-time convexoptimization.",,,
14,MPC,10.71,2.385,44,423,1115.995,quaterly,IEEE,IEEE industrial electronics magazine,Model Predictive Control: A Review of Its Applications in Power Electronics,2014,https://ieeexplore.ieee.org/document/6775336,"The application of MPC for power converters has increased because of the improvement of digital microcontrollers. This control technique requires a non negligible amount of calculations during small sampling times when applied for controlling pow-er converters and drives.There are several approaches to dealing with the computational burden problem. In some cases, it is possible to solve the optimization problem offline by multiparametric programming; thus, the implementation is re-duced to some calculations and a look-up table.GPC provides an online solution  to  the  optimization  problem  and  can  be  used  for  long  prediction  horizons without significantly increas0ing  the  computational  cost .  It  should  be  noted  that  GPC  does  not  take   into   account   the   switching   of   power  semiconductors  when  it  is  applied for power electronics and drives. Therefore,  GPC  only  gives  an  exact  solution to an approximated optimiza-tion  problem.  This  approach  can  be  followed  when  an  explicit  solution  to  the problem can be found.  ",,,
15,MPC,7.168,2.742,199,1,1033.898,monthly,IEEE,IEEE transaction industrial electronics,Improved Model Predictive Current Control for SPMSM Drives With Parameter Mismatch,2019,https://ieeexplore.ieee.org/document/8657947,"Model predictive current control (MPCC) can predict future motor behavior according to a motor model. In practice, however, motor parameters will vary at run time, and the parameter mismatch disturbances caused by the variation in motor parameters will deteriorate the MPCC performance. To suppress the parameter mismatch disturbances effectively, this paper proposes a modified MPCC with a current variation update mechanism. In contrast with the traditional current prediction equation that contains crude model parameters, the modified current prediction equation contains only measured information, taking advantage of the proposed current variation update mechanism, which can update the modified prediction equation within each sampling period. A simulation established by MATLAB software indicates that the proposed method can effectively suppress the parameter mismatch disturbances. Experiments are carried out to verify the correctness of the proposed method.SPMSM,parameter mismatch disturbances, model predictive current control(MPCC).",,,
16,ICP localization,11.52,5.388,326,131,1954.244,monthly,IEEE,IEEE Transactions on Pattern Analysis and Machine Intelligence,3D ICP point set registration,2016,https://ieeexplore.ieee.org/abstract/document/7368945,"he Iterative Closest Point (ICP) algorithm is one of the most widely used methods for point-set registration. However,being based on local iterative optimization, ICP is known to be susceptible to local minima. Its performance critically relies on thequality of the initialization and only local optimality is guaranteed. This paper presents the first globally optimal algorithm, named Go-ICP, for Euclidean (rigid) registration of two 3D point sets under the L2 error metric defined in ICP. The Go-ICP method is based on a branch-and-bound (BnB) scheme that searches the entire 3D motion spaceSE. By exploiting the special structure of geometry, we derive novel upper and lower bounds for the registration error function. Local ICP is integrated into the BnB scheme, which speeds up the new method while guaranteeing global optimality. We also discuss extensions, addressing the issue of outlier robustness. The evaluation demonstrates that the proposed method is able to produce reliable registration results regardless of the initialization. Go-ICP can be applied in scenarios where an optimal solution is desirable or where a good initialization is not always available.3D point-set registration, global optimization, branch-and-bound,space search, iterative closest point",,,
17,ICP localization,3.03,0.231,234,4,1190.813,none,IEEE,"IEEE International Workshop of Electronics, Control, Measurement, Signals and their Application to Mechatronics",Icp slam methods implementation on a by-steerable mobile robot,2013,https://ieeexplore.ieee.org/abstract/document/6648973,"Scan matching is a popular way of recovering a mobile robot's motion and constitutes the basis of many localization and mapping approaches. The work presented in this paper consists in the implementation of a SLAM method (Simultaneous Localization and Mapping) based on the Iterative Closest Points (ICP) algorithm on the Robucar, a car-like mobile robot. Two variants are considered related to the error metric minimization. These variants of ICP-SLAM have been implemented and tested on the robot for performance's comparison. Scan matching; ICP-SLAM; measures alignment; Robucar.",,,
18,ICP localization,2.27,0.512,152,181,1132.616,quaterly,IEEE,IEEE International Conference on Robotics and Automation,An icp variant using a point to line metric,2008,https://ieeexplore.ieee.org/abstract/document/4543181,"This paper describes PLICP, an ICP (Iterative Closest / Corresponding Point) variant that uses a point-to-line metric,and an exact closed form for minimizing suchmetric.The resulting algorithm has some interesting properties it converges quadratically, and in a finite number of steps.The method is validated against vanilla ICP, IDC (Iterative Dual Correspondences),and MBICP (Metric-Based ICP) by reproducing the experiments performed in Minguezet al.(2006).The experiments suggest that PLICP is more precise,and requiresless iterations.However, it is less robust to very large initialdisplacementerrors.Thelast partof the paperis devotedtopurely algorithmicoptimizationof the correspondencesearch;this allows for a significantspeed-upof the computation.The source code is available for download.Scan matching,localization,ICP, IDC,MbICP, metric,point-to-line",,,
19,ICP localization,2.44,0.479,152,38,847.197,none,IEEE,IEEE International Conference on Robotics and Automation,Robust 3 D slam with a  stereo camera based on edge-point ICP algorithm,2009,https://ieeexplore.ieee.org/abstract/document/5152529,"Most  vision based  SLAM  systems  utilize  corner like features, and may be unstable in non textured environments where only a few corner features can be extracted. To cope with this  problem,  we  employ  edge  points  to  perform  SLAM  witha stereo camera. The edge-point based SLAM is applicable to non-textured environments since plenty of edge points can be obtained  even  from  a  small  number  of  lines.  The  proposed method  estimates  camera  poses  and  builds  detailed  3D  maps robustly by aligning edge points between frames using the ICPalgorithm. In indoor experiments, the method successfully built detailed 3D maps even under noisy condition",,,
20,ICP localization,3.74,0.911,152,7,791.693,none,IEEE,IEEE International Conference on Robotics and Automation,Overlap based ICP tuning for robust localization of a humanoid robot,2017,https://ieeexplore.ieee.org/abstract/document/7989547,"State estimation techniques for humanoid robotsare typically based on proprioceptive sensing and accumulate drift over time. This drift can be corrected using exteroceptive sensors such as laser scanners via a scene registration proce-dure. For this procedure the common assumption of high pointcloud overlap is violated when the scenario and the robot's point-of-view are not static and the sensor's field-of-view (FOV) is limited. In this paper we focus on the localization of a robot with limited FOV in a semi-structured environment. We analyze the effect of overlap variations on registration performance and demonstrate that where overlap varies, outlier filtering needs to be tuned accordingly. We define a novel parameter which gives a measure of this overlap. In this context, we propose a strategy for robust non-incremental registration. The pre-filtering module selects planar macro features from the input clouds, discarding clutter. Outlier filtering is automatically tuned at run-time to allow registration to a common reference in conditions of non-uniform overlap. An extensive experimental demonstration is presented which characterizes the performance of the algorithm using two humanoids: theNASA Valkyrie, in a laboratory environment, and the BostonDynamics Atlas, during the DARPA Robotics Challenge Finals.",,,
21,ICP localization,1.75,0.234,15,17,116.702,none,IEEE,"International Conference on 3D Imaging, Modeling, Processing, Visualization and Transmission",Robust ICP registraton using biunique correspondence,2011,https://ieeexplore.ieee.org/abstract/document/5955346,"novel variant of the ICP algorithm is proposed for registration of partially overlapping range images. Biunique correspondence is introduced to enhance the performance of ICP by searching multiple closest points. A new kind of outlier is defined, called No-Correspondence (NC) Outlier, which is the point that is not assigned to a biunique correspondence. In order to maintain efficiency, a coarse-to-fine approach is adopted. Experiments show that the proposed algorithm can find the correct rigid transformation with the existence of large non-overlapping area and poor initial alignment. The proposed algorithm is also applied to SLAM with the use of odometry information. ICP registration; multiple closest points; biunique correspondence; 6DOF SLAM ",,,
22,ICP localization,2.7,0.453,3,34,95.159,none,IEEE,"IEEE International Workshop of Electronics, Control, Measurement, Signals and their Application to Mechatronics",FAST ICP-SLAM for a bi-steerable mobile robot in large environments,2015,https://ieeexplore.ieee.org/abstract/document/7208683,"This paper describes the implementation of a local ICP-SLAM (Iterative Closest Point - Simultaneous Localization and Mapping) to improve the method presented in . The ICP algorithm is known as a method that requires more computation time when the environment grows leading to poor results for both localization and mapping. To overcome this problem, a local ICP-SLAM is introduced which is based on the partition of the environment on smaller parts. This method is implemented and tested on the car-like mobile robot ""Robucar"". It allows the optimization of the computation time and localization accuracy. The experimental results show the effectiveness of the proposed local ICP-SLAM compared to the method ICP-SLAM, scan matching, LRF range data, large environments, measures alignment, Robucar",,,
23,ICP localization,1.48,0.258,6,17,70.694,none,IEEE,"IEEE International Conference on Safety, Security, and Rescue Robotics",ICP based pose graph slam,2016,https://ieeexplore.ieee.org/abstract/document/7784298,"Odometry-like localization solutions can be built upon Light Detection And Ranging (LIDAR) sensors, by se-quentially registering the point clouds acquired along a robot trajectory. Yet such solutions inherently drift over time: we propose an approach that adds a graphical model layer on top of such LIDAR odometry layer, using the Iterative ClosestPoints(ICP) algorithm for registration. Reference frames called keyframes are defined along the robot trajectory, and ICP results are used to build a pose graph, that in turn is used to solve an optimization problem that provides updates for the keyframes upon loop closing, enabling the correction of the path of the robot and of the map of the environment. We present in details the configuration used to register data from the Velodyne High Definition LIDAR (HDL), and a strategy to build local maps upon which current frames are registered, either when discovering new areas or revisiting previously mapped areas.Experiments show that it is possible to build the graph using data from ICP and that the loop closings in the graph level reduces the overall drift of the system",,,
24,Monte carlo method,1.67,3.438,542,999,4724.994,yearly,ACS,Journal of American Chemical society,An internal-coordinate Monte Carlo method for searching conformational space,1988,https://pubs.acs.org/doi/abs/10.1021/ja00194a035,"An internal coordinate, random-search method for finding the low-energy conformations of organic molecules is described. The search is biased toward the low-energy regions of conformational space by choosing starting geometries for each step in the conformational search from among previously stored low-energy conformers. Tendencies of the search method to concentrate in certain regions of conformational space at the expense of others are reduced by uniform usage of stored structures as starting geometries and by using varying numbers or torsional rotations in each step. Tests of the procedure's ability to find all low-energy conformations of several acrylic, medium- and large-ring molecules are described. Direct comparisons of the method with Cartesian coordinate random methods and systematic internal coordinate grid searches are carried out with symmetrical and unsymmetrical molecules. The method makes it possible to carry out global conformational searches on symmetrical and unsymmetrical molecules having up to a dozen variable torsion angles.",,,
25,Monte carlo method,1.45,2.34,345,124,1985.82,monthly,Springer link,Radiation effects in Solids,Introduction to Monte carlo method,2018,https://link.springer.com/chapter/10.1007/978-1-4020-5295-8_1,"Our focus is on simulating the dynamical evolution of systems of atoms. The premiere tool in this class of atomistic simulation methods is molecular dynam-ics (MD), in which one propagates the classical equations of motion forward intime. This requires first choosing an interatomic potential for the atoms and a set of boundary conditions.Kinetic Monte Carlo attempts to overcome this limitation by exploiting the fact that the long time dynamics of this kind of system typically consists of diffusive jumps from state to state. Rather than following the trajectory through every vibrational period, these state-to-state transitions are treated directly. The result is that KMC can reach vastly longer time scales,typically seconds and often ",,,
26,Markov chain,2.12,3.247,164,94,1026.221,monthly,ASA,JOurnal of American Statistical Association,A Markov Chain Model for the Multivariate Exponentially Weighted Moving Averages Control Chart,2012,https://amstat.tandfonline.com/doi/abs/10.1080/01621459.1996.10476741#.XmxnLunhXCI,"A Markov chain approximation is used to determine the run length performance of a multivariate statistical process control chart.The Markov chain approach is widely used in the analysis of univariate control charts, and we extend the advantages of this type of analysis to a multivariate exponentially weighted moving averages control chart. The analysis can be applied whenever the multivariate control statistic can be modeled as a Markov chain and the run length performance depends on the off-target meanonly through the noncentrality parameter. Average run length; Exponentially weighted moving averages; Multivariate control chart; Statistical process control",,,
27,Markov chain,4.189,1.148,144,122,984.2,monthly,Elsevier,Agricultural and Forest Meteorology,A Markov chain model of canopy reflectance,1995,https://www.sciencedirect.com/science/article/pii/0168192394022167,"Markov properties of stand geometry are incorporated into an analytical multispectral canopy reflectance model. The correlation of leaf positions in adjacent layers significantly influences the gap probability in a stand and, consequently, the canopy reflectance (CR) and its angular distribution. The sensitivity analysis demonstrated that the effect is greatest on the angular distribution of multiply scattered radiation. Validation of the new CR model that considers the Markov stand geometry demonstrated an improved agreement between model calculations and measured directional reflectance distribution of near infrared (NIR) reflectance for barley and soybean ,;tands. As a consequence, inversion of the new model in the NIR spectral region and in two spectral bands simultaneously allowed significantly better estimation of the leaf area index of a stand than the Nilson-Kuusk model which assumes a Poisson stand geometry. ",,,
28,Markov chain,1.23,1.23,78,74,546.61,none,ACM,19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,Pedestrian-movement prediction based on mixed Markov-chain model,2011,https://dl.acm.org/doi/abs/10.1145/2093973.2093979,"A method for predicting pedestrian movement on the basis of a mixed Markov-chain model (MMM) is proposed. MMM takes into account a pedestrian's personality as an unobservable parameter. It also takes into account the effects of the pedestrian's previous status. A promotional experiment in a major shopping mall demonstrated that the highest prediction accuracy of the MMM method is 74.4%. In comparison with methods based on a Markov-chain model (MM) and a hidden-Markov model (HMM) (i.e., prediction rates of about 45% and 2%, respectively), the proposed MMM-based prediction method is substantially more accurate. This pedestrian-movement prediction based on MMM using tracking data will make it possible to provide so-called ""adaptive mobile services"" with proactive functions.",,,
29,Markov chain,4.32,1.45,45,39,324.63,yearly,Springer link,Tools and Algorithms for the Construction and Analysis of Systems,A Markov Chain Model Checker,2000,https://link.springer.com/chapter/10.1007/3-540-46419-0_24,"This paper presents an overview of algorithms for constructing automata from linear arithmetic constraints. It identifies one case inwhich the special structure of the automata that are constructed allows alinear-time determinization procedure to be used. Furthermore, it shows through theoretical analysis and experiments that the special structureof the constructed automata does, in quite a general way, render theusual upper bounds on automata operations vastly over pessimistic",,,
30,MPC,6.355,3.778,234,1803,4812.754,monthly,Elsevier,Automatica,Robust constrained model predictive control using linear matrix inequalities,1996,https://www.sciencedirect.com/science/article/pii/0005109896000635,"primary disadvantage of current design techniques for model predictive control (MPC) is their inability to deal explicitly with plant model uncertainty. In this paper, we present a new approach for robust MPC synthesis that allows explicit incorporation of the description of plant uncertainty in the problem formulation. The uncertainty is expressed in both the time and frequency domains. The goal is to design, at each time step, a state-feedback control law that minimizes a 'worst-case' infinite horizon objective function, subject to constraints on the control input and plant output. Using standard techniques, the problem of minimizing an upper bound on the 'worst-case' objective function, subject to input and output constraints, is reduced to a convex optimization involving linear matrix inequalities (LMIs). It is shown that the feasible receding horizon state-feedback control design robustly stabilizes the set of uncertain plants. Several extensions, such as application to systems with time delays, problems involving constant set-point tracking, trajectory tracking and disturbance rejection, which follow naturally from our formulation, predictive control; linear matrix inequalities: convex optimization; multivariable control systems: state-feedback; on-line operation; robust control; robust stability; time-varying systems. ",,,
31,MPC,6.355,3.286,239,209,1648.278,monthly,Elsevier,Automatica,Model predictive control for max-plus-linear discrete event systems,2001,https://www.sciencedirect.com/science/article/pii/S0005109801000541,"Model predictive control (MPC) is a very popular controller design method in the process industry. A key advantage of MPC isthat it can accommodate constraints on the inputs and outputs. Usually MPC uses linear discrete-time models. In this paper weextend MPC to a class of discrete-event systems that can be described by models that are`linearain the max-plus algebra, which hasmaximization and addition as basic operations. In general, the resulting optimization problem are nonlinear and nonconvex.However, if the control objective and the constraints depend monotonically on the outputs of the system, the model predictive controlproblem can be recast as problem with a convex feasible set. If in addition the objective function is convex, this leads to a convex optimization problem Discrete-event systems; Predictive control; Model-based control; Generalized predictive control; Max-plus-linear systems; Max-plus algebra",,,
32,MPC,6.355,2.192,239,111,1448.996,monthly,Elsevier,Automatica,A synthesis approach of on-line constrained robust model predictive control,2004,https://www.sciencedirect.com/science/article/pii/S0005109803002590#aep-article-footnote-id3,A new method to address constrained robust model predictive control (MPC) for systems with polytopic description (RPC-SPD) is proposed. This is motivated by two previous techniques. One is the well-known robust MPC that parameterizes the infinite horizon control moves into a single linear state feedback law. The other is a nominal on-line MPC that splits the in6nite horizon control moves into a setof free control moves over a fixed horizon and a state feedback law in the terminal region. The basic idea here is to adopt the rationale of the second technique to improve feasibility and optimality of the first one. A parameter-dependent lyapunov function is developed for establishing the closed-loop stability. Model predictive control, Polytopic description, Parameter-dependent Lyapunov function, Linear matrix inequalities
